Kanji,Translation,Furigana,Word Type
大人,Adult,おとな,Noun
一人,"Alone, One Person",ひとり,Noun
人工,"Artificial, Man Made, Human Made",じんこう,Noun and の adjective
大きい,"Big, Large",おおきい,い adjective
下,"Down, Below, Under, Beneath",した,Noun
八,Eight,はち,Numeral
八つ,Eight Things,やっつ,Numeral
入り口,Entrance,いりぐち,Noun
大した,"Great, Considerable, Important, Big Deal",たいした,Adjective
山,Mountain,やま,Noun
口,Mouth,くち,Noun
ふじ山,"Mt Fuji, Mount Fuji, Mt. Fuji",ふじさん,Proper noun
九,Nine,"きゅう, く",Numeral
九つ,Nine Things,ここのつ,Numeral
一,One,いち,Numeral
一つ,One Thing,ひとつ,Numeral
人,Person,ひと,Noun
下さい,"Please Give Me, Please",ください,Expression
人口,Population,じんこう,Noun
力,"Power, Strength",ちから,Noun
川,River,かわ,Noun
七,Seven,"なな, しち",Numeral
七つ,Seven Things,ななつ,Numeral
大きさ,Size,おおきさ,Noun
十,Ten,じゅう,Numeral
三,Three,さん,Numeral
三人,"Three People, Three Persons",さんにん,Noun
三つ,Three Things,みっつ,Numeral
上る,"To Climb, To Go Up",のぼる,Intransitive verb and Godan verb
入る,To Enter,はいる,Intransitive verb and Godan verb
下がる,"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down",さがる,Intransitive verb and Godan verb
入れる,"To Insert, To Put In",いれる,Transitive verb and Ichidan verb
下げる,"To Lower, To Hang, To Lower Something, To Hang Something",さげる,Transitive verb and Ichidan verb
上げる,"To Raise, To Raise Something",あげる,Transitive verb and Ichidan verb
上がる,"To Rise, To Go Up, To Be Raised",あがる,Intransitive verb and Godan verb
二,Two,に,Numeral
二人,"Two People, Pair, Couple, Two Persons",ふたり,Noun
二つ,Two Things,ふたつ,Numeral
上,"Up, Above, Over",うえ,"Adverb, Noun, Suffix, and の adjective"
女,"Woman, Female",おんな,Noun
又,"Again, And",また,Adverb and Prefix
四月,April,しがつ,Noun
玉,Ball,たま,Noun
本,Book,ほん,Noun
白人,"Caucasian, White Person, White People",はくじん,Noun and の adjective
丸,"Circle, Round, Circular",まる,Noun
丸い,"Circular, Round, Spherical",まるい,い adjective
正しい,"Correct, True",ただしい,い adjective
犬,Dog,いぬ,Noun
八日,"Eight Days, Day Eight, Eighth Day",ようか,Noun
夕べ,"Evening, Last Night",ゆうべ,Noun
出口,Exit,でぐち,Noun
目,Eye,め,Noun
目玉,Eyeball,めだま,Noun
二月,February,にがつ,Noun
五日,"Fifth Day, Day Five, Five Days",いつか,Noun
五十,Fifty,ごじゅう,Numeral
火,Fire,ひ,Noun
五,Five,ご,Numeral
五つ,Five Things,いつつ,Numeral
四,Four,"よん, し",Numeral
天才,Genius,てんさい,Noun
女子,"Girl, Woman",じょし,Noun
女の子,"Girl, Young Girl, Young Lady, Young Woman",おんなのこ,Noun
上手,"Good At, Skillful, Skilled At, Skilled",じょうず,Noun and な adjective
手,Hand,て,Noun
天,Heaven,てん,Noun
入力,"Input, Enter, Entry",にゅうりょく,Noun and する verb
一月,January,いちがつ,Noun
日本,Japan,"にほん, にっぽん",Proper noun
六月,June,ろくがつ,Noun
子,"Kid, Child",こ,Noun and Suffix
王,King,おう,Noun and Suffix
左右,"Left And Right, Both Ways, Influence, Control",さゆう,Noun and する verb
左,"Left Direction, Left",ひだり,Noun and の adjective
五月,May,ごがつ,Noun
中,"Middle, In, Inside, Center",なか,Noun
〜円,"Money, Yen",えん,Noun and Suffix
月,"Moon, Month",つき,Noun
九日,"Nine Days, Day Nine, Ninth Day",ここのか,Noun
十月,October,じゅうがつ,Noun
一日,"One Day, Day One, First Day","いちにち, ついたち",Noun
一千,One Thousand,いっせん,Noun
千円,"One Thousand Yen, A Thousand Yen, Thousand Yen",せんえん,Noun
玉ねぎ,"Onion, Round Onion",たまねぎ,Noun
人々,"People, Everybody",ひとびと,Noun and の adjective
王子,Prince,おうじ,Noun and Suffix
王女,Princess,おうじょ,Noun and Suffix
子犬,Puppy,こいぬ,Noun
女王,Queen,じょおう,Noun and Suffix
田,"Rice Field, Rice Paddy",た,Noun
右,"Right Direction, Right",みぎ,Noun
円い,"Round, Circular",まるい,い adjective
二日,"Second Day, Day Two, Two Days",ふつか,Noun
七日,"Seventh Day, Day Seven, Seven Days",なのか,Noun
六,Six,ろく,Numeral
十六,Sixteen,じゅうろく,Numeral
六日,"Sixth Day, Day Six, Six Days",むいか,Noun
六つ,Six Things,むっつ,Numeral
小さい,"Small, Little",ちいさい,い adjective
土,"Soil, Earth, Ground, Dirt",つち,Noun
日,"Sun, Day",ひ,Noun
刀,"Sword, Katana",かたな,Noun
十日,"Ten Days, Day Ten, Tenth Day",とおか,Noun
三日,"Third Day, Day Three, Three Days",みっか,Noun
千,Thousand,せん,Numeral
正す,To Correct,ただす,Transitive verb and Godan verb
出る,"To Exit, To Leave, To Attend, To Come Out, To Go Out",でる,Intransitive verb and Ichidan verb
立つ,To Stand,たつ,Intransitive verb and Godan verb
立てる,"To Stand Up, To Stand Something Up, To Erect, To Erect Something",たてる,Transitive verb and Ichidan verb
出す,"To Take Out, To Hand Out, To Remove, To Turn In, To Put Out",だす,Transitive verb and Godan verb
木,"Tree, Wood",き,Noun
水中,Underwater,すいちゅう,Noun and の adjective
下手,"Unskillful, Unskilled, Bad At, Not Good At, Not Skilled",へた,Noun and な adjective
中々,"Very, Considerably, Quite",なかなか,Adverb
大いに,"Very, Much, Greatly, A Lot Of, Very Much",おおいに,Adverb
火山,Volcano,かざん,Noun
水,Water,みず,Noun
白,White,しろ,Noun
文,"Writing, Sentence",ぶん,Noun
〜才,"Years Old, Age",さい,Suffix
少ない,"A Few, Few, Scarce, Not Much, Not Many",すくない,い adjective
少し,"A Little, A Few, Few",すこし,Adverb and Noun
アメリカ人,"American, American Person","あめりかじん, アメリカじん",Noun
矢,Arrow,や,Noun
〜台,"Big Machine, Big Device, Machine, Device, Machine Counter, Number Of Machines",だい,Counter and Suffix
市,City,し,Noun and Suffix
牛,Cow,うし,Noun
戸口,Doorway,とぐち,Noun
外れ,"Extremity, Furthest Point, End, Outskirts, Outer Limits, Edge, Miss, Failure",はずれ,Noun and Suffix
太い,"Fat, Thick",ふとい,い adjective
お父さん,"Father, Dad, Papa",おとうさん,Noun
父,Father,ちち,Noun
五台,Five Machines,ごだい,Noun
外人,"Foreigner, Outsider",がいじん,Noun
